lc116,codigo,descricao,aliquota,base_legal
01.01,101,Análise e desenvolvimento de sistemas.,5%,DECRETO Nº 10514/1991 - DECRETO Nº 23753/2003
01.02,102,Programação.,5%,DECRETO Nº 10514/1991 - DECRETO Nº 23753/2003
01.03,103,Processamento de dados e congêneres.,5%,DECRETO Nº 10514/1991 - DECRETO Nº 23753/2003
01.04,104,"Elaboração de programas de computadores, inclusive de jogos eletrônicos.",5%,DECRETO Nº 10514/1991 - DECRETO Nº 23753/2003
38.01,380101,Serviços de museologia.,5%,Portaria F/SUBTF/CIS N° 256/2018
39.01,390101,Serviços de ourivesaria e lapidação (quando o material for fornecido pelo tomador do serviço).,5%,Portaria F/SUBTF/CIS N° 256/2018
40.01,400101,Obras de arte sob encomenda.,5%,Portaria F/SUBTF/CIS N° 256/2018
01.05,105,Licenciamento ou cessão de direito de uso de programas de computação.,5%,DECRETO Nº 10514/1991 - DECRETO Nº 23753/2003
01.06,106,Assessoria e consultoria em informática.,5%,DECRETO Nº 10514/1991 - DECRETO Nº 23753/2003
01.07,107,"Suporte técnico em informática, inclusive instalação, configuração e manutenção de programas de computação e bancos de dados.",5%,DECRETO Nº 10514/1991 - DECRETO Nº23753/2003
01.08,108,"Planejamento, confecção, manutenção e atualização de páginas eletrônicas.",5%,DECRETO Nº 10514/1991 - DECRETO Nº 23753/2003
01.09,10902,"Disponibilização, sem cessão definitiva, de conteúdos de áudio, vídeo, imagem e texto por meio da internet, respeitada a imunidade de livros, jornais e periódicos (exceto a distribuição de conteúdos pelas prestadoras de Serviço de Acesso Condicionado, de que trata a Lei no 12.485, de 12 de setembro de 2011, sujeita ao ICMS).  (Incluído pela Lei Complementar nº 157, de 2016)",2%,Portaria F/SUBTF/CIS N° 256/2018
02.01,201,Serviços de pesquisas e desenvolvimento de qualquer natureza.,5%,DECRETO Nº 10514/1991 - DECRETO Nº 23753/2003
03.02,302,Cessão de direito de uso de marcas e de sinais de propaganda.,5%,DECRETO Nº 10514/1991 - DECRETO Nº 23753/2003
03.03,303,"Exploração de salões de festas, centro de convenções, escritórios virtuais, stands, quadras esportivas, estádios, ginásios, auditórios, casas de espetáculos, parques de diversões, canchas e congêneres, para realização de eventos ou negócios de qualquer natureza.",5%,DECRETO Nº 10514/1991 - DECRETO Nº 23753/2003
03.04,304,"Locação, sub-locação, arrendamento, direito de passagem ou permissão de uso, compartilhado ou não, de ferrovia, rodovia, postes, cabos, dutos e condutos de qualquer natureza.",5%,DECRETO Nº 10514/1991 - DECRETO Nº 23753/2003
03.05,30503,"Cessão de andaimes, palcos, coberturas e outras estruturas de uso temporário",3%,Portaria F/SUBTF/CIS N° 256/2018
04.01,401,Medicina e biomedicina.,2%,DECRETO Nº 10514/1991 - DECRETO Nº 23753/2003
04.02,402,"Análises clínicas, patologia, eletricidade médica, radioterapia, quimioterapia, ultra-sonografia, ressonância magnética, radiologia, tomografia e congêneres.",2%,DECRETO Nº 10514/1991 - DECRETO Nº 23753/2003
04.03,403,"Hospitais, clínicas, laboratórios, sanatórios, manicômios, casas de saúde, prontos-socorros, ambulatórios e congêneres.",2%,DECRETO Nº 10514/1991 - DECRETO Nº 23753/2003
04.04,404,Instrumentação cirúrgica.,2%,DECRETO Nº 10514/1991 - DECRETO Nº 23753/2003
04.05,405,Acupuntura.,2%,DECRETO Nº 10514/1991 - DECRETO Nº 23753/2003
04.06,406,"Enfermagem, inclusive serviços auxiliares.",2%,DECRETO Nº 10514/1991 - DECRETO Nº 23753/2003
04.07,407,Serviços farmacêuticos.,2%,DECRETO Nº 10514/1991 - DECRETO Nº 23753/2003
04.08,408,"Terapia ocupacional, fisioterapia e fonoaudiologia.",2%,DECRETO Nº 10514/1991 - DECRETO Nº 23753/2003
04.09,409,"Terapias de qualquer espécie destinadas ao tratamento físico, orgânico e mental.",2%,DECRETO Nº 10514/1991 - DECRETO Nº 23753/2003
04.10,410,Nutrição.,2%,DECRETO Nº 10514/1991 - DECRETO Nº 23753/2003
